Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,SESHAASAI TECHNOLOGIES LIMITED,913085,0.0,70017969.44,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
5000009103,INDIAN OVERSEAS BANK-PSD,91787,0.0,1432178.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000042169,INDIAN BANK,21360,0.0,1228791.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000057433,INDIAN BANK(BPC BOLLARUM),256584,0.0,23427718.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
5000014821,MS CBI KOTI(BNPL),0,0.0,937166.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000063003,PKL LIMITED,182,0.0,72432.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000052887,KARNATAKA GRAMIN BANK,0,0.0,48885.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000065748,DREAMY DESIGNS,17,0.0,1548.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
4002089778,GANTASALA RAVALI,435,0.0,38980.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000044681,SHREE NIDHI PRINT P LTD,230,0.0,55344.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
1000060979,ZEROHARM SCIENCES PVT LTD,365,0.0,52350.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
1829060733,VAIGHA WEAVES,540,0.0,54075.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000051074,KAKANI EDU MEDIA PVT LTD,163,0.0,32732.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
4001690303,BATTULA SANDHYA,239,0.0,11334.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
3000056175,EMERALD ENTERPRISES,27,0.0,69735.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
1709725541,AKRITI OPTHALMIC PVT LTD,298,0.0,84840.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
1207244829,CHANDAN LOGICS LLP,225,0.0,32801.0,-,-,All,All,All,All Offices,2025-12-01,2025-12-31
