Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,Seshaasai Technologies Limited,743478,8200357.81,53757898.81,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000057433,M/s Indian Bank,128292,1284695.83,8421845.83,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
1794963714,TVS SYSTEMS,100250,847063.29,5552961.29,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
5000009103,Indian Overseas Bank - PSD,91787,1129468.09,7404294.09,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
2000011782,EPIC Telanagana Circle,83799,674700.02,4329406.99,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000053681,KFIN Technologies Ltd,80560,706628.40,4632358.40,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000061080,Manipal Payment and Identity Solutions Limited,72216,857210.52,5619506.52,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
2000001687,337-TD PASSPORTS,66567,417797.92,2738866.92,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000044891,Central Bank Of India,64413,544933.73,3572344.73,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
1952211758,ZENTECH INNOVATIONS  PRIVATE LIMITED,58744,666082.28,4366544.28,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
2000014074,"MINISTRY OF MICRO,SMALL AND MEDIUM ENTERPRISES",33784,2305739.52,15115313.52,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
1561390655,MAKE MAIL EZY,28517,254961.54,1671410.54,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
1000002954,AMAZON,25538,272974.07,1789464.07,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000042684,Axis Bank Ltd,21737,183893.69,1205532.69,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000042169,1785- INDIAN BANK,21360,233730.91,1532235.91,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
4000040080,954-RTA MEDCHAL,18940,69376.00,454800.00,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
3000012687,1216-SHRIRAM LIFE INSURANCE LTD,16983,206642.28,1354664.28,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
6000004007,948-RTA UPPAL,16137,56648.00,371287.00,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
6000002136,1069-RTA KONDAPUR,15508,54700.05,358564.05,-,-,All,All,All,All Offices,2026-01-01,2026-01-31
