Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,Seshaasai Technologies Limited,442527,5002278.07,32792693.07,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000014672,CCLA Telangana State Technology Ser ltd,144141,1066238.16,6989805.16,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000057433,M/s Indian Bank,142519,1290125.63,8457504.63,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000053681,KFIN Technologies Ltd,71364,632837.95,4148592.95,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
2000001687,337-TD PASSPORTS,69593,437916.99,2870792.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000061080,Manipal Payment and Identity Solutions Limited,69230,815947.35,5348978.35,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
5000009103,Indian Overseas Bank - PSD,61554,743078.84,4871299.84,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1000002954,AMAZON,55538,667348.28,4374822.28,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
2000014074,"MINISTRY OF MICRO,SMALL AND MEDIUM ENTERPRISES",35887,5387040.88,35315063.88,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1952211758,ZENTECH INNOVATIONS  PRIVATE LIMITED,35340,370418.22,2428291.22,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000042684,Axis Bank Ltd,33684,284966.34,1868114.34,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002160,BOARD OF INTERMEDIATE EDN,33076,727310.28,4761235.28,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1561390655,MAKE MAIL EZY,29370,264749.35,1735587.35,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000042169,1785- INDIAN BANK,18299,201397.92,1320278.92,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000012687,1216-SHRIRAM LIFE INSURANCE LTD,15232,186205.81,1220657.81,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000061310,"Shriram Finance Limited, Ashok nagar",14487,129370.08,848085.08,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000025161,ICICI Bank Ltd,12542,83199.97,545423.97,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
2000011782,EPIC Telanagana Circle,10669,39843.90,259155.90,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000011996,967-ICICI BANK LTD,10300,81225.95,532474.95,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000030604,1824-Zentech Innovations pvt ltd,8823,76425.10,500997.10,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1389210133,SAI SPOORTHI MAILING SERVICES,8363,75645.93,495898.93,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
2000010275,MANUU D D E,6881,170291.97,1116374.97,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1171460338,National Statistics Office  Field Operations Division,6875,38134.05,249997.05,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
4000040080,954-RTA MEDCHAL,6644,23568.02,154508.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1745625465,SRI SAI  COURIERS,6634,55502.02,363842.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1000053259,2199-Monksays Superfoods private Limited,6026,68153.94,446825.94,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000053459,UCO Bank,5930,50289.01,329666.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000004007,948-RTA UPPAL,5854,20136.00,131976.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
5000003020,LIC OF INDIA,5632,41856.19,274388.19,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1100008888,Vutkuri Srinivas,5534,37236.00,237738.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1350203722,UTI INFRASTRUCTURE TECHNOLOGY AND SERVICES LIMITED,5334,18239.98,119585.98,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000000747,RTO KANDI,4957,37620.00,246631.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000067163,2336-TELANGANA CONTRACTORS CULTURAL CLUB,4443,17350.02,113734.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000016011,Dr B R Ambedkar Open University,4433,70643.97,463107.97,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
5000002955,1636-SBI SME SEC BAD,4254,16666.00,109264.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
2000002672,1744-AG Office,4006,30932.01,202729.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002147,DR BRAOU,3863,30316.02,198734.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000068453,DTDC EXPRESS LIMITED,3606,48364.00,317002.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000069877,The Hindu Young World,3445,4705.99,30851.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000061299,Shriram Finance HMT HO,3370,33042.04,216592.04,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000054336,BHARATHA RUSHIPEETHAM,3150,5180.03,33956.03,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000053861,ZAARA DESIGNER JEWLLERY,3103,22933.98,150311.98,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002880,RTO OFFICE KOTHAGUDEM,3084,23290.01,152642.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002088,CONTROLLER OF EXAMINATIONS,3073,31729.99,208016.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1100007926,KASALA ARUN,2921,20924.00,135043.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002123,947-RTA IBRAHIMPATNAM,2897,10880.00,71314.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000001854,District  Transport Office Mahabubn,2884,18651.99,122251.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002161,1110-TS INFORMATION COMMISSION,2820,20684.00,135563.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000001182,ROAD TRANSPORT AUTHORITY,2816,22596.02,148118.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
5000015816,2168-DCB BANK LTD,2737,30471.96,199746.96,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000046514,M/s India Today (English),2653,3748.00,24566.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1000058092,IKON ENTERPRISES,2578,18842.02,123522.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1188998176,ANDREW WOMMACK MINISTRIES INDIA,2510,18228.03,119493.03,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000001197,RTA WARANGAL URBAN,2493,12302.01,80641.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000049042,Dhyana Jagat,2476,4272.00,28000.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1100005267,T SANTHOSH KUMAR,2465,19502.00,129619.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000012892,SHRIRAM LIFE INSURANCE CO LT,2391,25532.00,167369.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000046552,Reader's Digest,2266,3000.00,19664.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000041305,KL Hitech Secure Print Ltd,2261,46606.02,305529.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000053753,THE WEEK,2256,3248.00,21294.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002132,952-RTA NAGOLE,2194,7514.00,49256.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000044371,LIC BO Hanamkonda Branch,2079,11723.99,76837.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002127,951-RTA THIRUMALAGHEERY,2075,7542.01,49428.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002136,1069-RTA KONDAPUR,2073,7492.01,49119.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1100000326,MAHAMMAD KHAJA MOINUDDIN,2010,17928.00,112814.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
4002211282,SAMA NAGALATHA,1993,21296.02,139589.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000048210,ACE Engineering Publications,1956,118823.87,778938.87,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1407871285,SHRIRAM FINANCE SECUNDERABAD ZONAL,1906,13369.98,87655.98,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000012044,ICICI Bank LTD,1901,18632.01,122136.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000018018,2352-Telangana Medical Council,1890,11171.99,73225.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000046663,Champak (English),1847,2631.00,17249.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002162,RTA SOMAJIGUDA,1824,6303.99,41323.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000061311,Shriram Finance HMT R,1816,10990.02,72054.02,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1100007760,G Rajesh,1708,13554.00,88904.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
3000053953,PJ SHAPU EXPORTS,1674,150529.98,987471.98,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1000060603,Carry Wrap,1618,10612.00,69600.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1000057844,GOWDARABAR NATURAL PRODUCTS PVT LTD,1609,37875.96,248308.96,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
4000039921,BHARATH FINANCIAL INCLUSION LTD,1503,12715.99,83356.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002150,DIRECTOR AP FORENSIC SCIENCE,1467,9942.01,65183.01,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000001258,RTA MANCHERIAL,1437,10425.99,68360.99,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
1184992799,Divis Laboratories Limited,1418,11759.98,77089.98,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002179,RTA ATTAPUR,1396,4880.00,31997.00,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
6000002769,RTO OFFICE KHAMMAM,1368,11573.97,75869.97,-,-,All,All,All,All Offices,2026-05-01,2026-05-31
