Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,SESHAASAI TECHNOLOGIES LIMITED,1998052,0.0,36681879.92,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
5000009103,INDIAN OVERSEAS BANK-PSD,20701,0.0,3935851.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000042169,INDIAN BANK,20129,0.0,1503514.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000057433,INDIAN BANK(BPC BOLLARUM),636363,0.0,40423158.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
5000014821,MS CBI KOTI(BNPL),17309,0.0,0.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000063003,PKL LIMITED,141,0.0,69909.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000052887,KARNATAKA GRAMIN BANK,108,0.0,461350.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000065748,DREAMY DESIGNS,43,0.0,732.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
4002089778,GANTASALA RAVALI,391,0.0,22875.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000044681,SHREE NIDHI PRINT P LTD,313,0.0,25706.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1000060979,ZEROHARM SCIENCES PVT LTD,466,0.0,47540.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1829060733,VAIGHA WEAVES,623,0.0,44460.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000051074,KAKANI EDU MEDIA PVT LTD,316,0.0,19062.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
4001690303,BATTULA SANDHYA,85,0.0,31604.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000056175,EMERALD ENTERPRISES,74,0.0,4695.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1709725541,AKRITI OPTHALMIC PVT LTD,266,0.0,68527.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1207244829,CHANDAN LOGICS LLP,320,0.0,46998.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1000056867,LEE HEALTH DOMAIN INDIA PVT LTD,410,0.0,16550.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000067747,SJI JIMR,193,0.0,6570.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000065886,DREAMY DESIGNS,305,0.0,11461.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1000059264,Aswini Homeo & Ayurvedic Products,234,0.0,30775.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1227248915,CISF NISA,2199,0.0,148853.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
1643026968,AFFORDABLE ORGANICS,330,0.0,19894.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000060427,SOLUTIONS 3X PVT LTD,55,0.0,8303.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
3000067142,Prashanthi Ponnapalli,363,0.0,2370.0,-,-,All,All,All,All Offices,2025-11-01,2025-11-30
