Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,SESHAASAI TECHNOLOGIES LIMITED,766520,0.0,42259286.8,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
5000009103,INDIAN OVERSEAS BANK-PSD,58071,0.0,3512787.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000042169,INDIAN BANK,23920,0.0,3893927.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000057433,INDIAN BANK(BPC BOLLARUM),1184298,0.0,30453516.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000063003,PKL LIMITED,177,0.0,60043.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000052887,KARNATAKA GRAMIN BANK,685,0.0,127645.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000065748,DREAMY DESIGNS,20,0.0,468.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4002089778,GANTASALA RAVALI,393,0.0,15315.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000044681,SHREE NIDHI PRINT P LTD,60,0.0,36657.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000060979,ZEROHARM SCIENCES PVT LTD,438,0.0,59530.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4002005159,MAASALA SIVA DURGA,0,0.0,32805.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1829060733,VAIGHA WEAVES,512,0.0,33345.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000051074,KAKANI EDU MEDIA PVT LTD,181,0.0,18740.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4001690303,BATTULA SANDHYA,269,0.0,9416.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000056175,EMERALD ENTERPRISES,12,0.0,60290.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1709725541,AKRITI OPTHALMIC PVT LTD,294,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1207244829,CHANDAN LOGICS LLP,470,0.0,38050.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000056867,LEE HEALTH DOMAIN INDIA PVT LTD,308,0.0,21940.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000067747,SJI JIMR,100,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000065886,DREAMY DESIGNS,340,0.0,37785.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000059264,Aswini Homeo & Ayurvedic Products,454,0.0,3545.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1227248915,CISF NISA,2086,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1643026968,AFFORDABLE ORGANICS,399,0.0,41777.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000060427,SOLUTIONS 3X PVT LTD,43,0.0,14633.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000067142,Prashanthi Ponnapalli,70,0.0,5135.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000060978,AYUSH DESIGNS,225,0.0,8260.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000068186,EYANTRA VENTURES LTD,40,0.0,92951.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000056929,NADELLA VENKAT CHAITANYA,240,0.0,9040.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1335675181,ANKITHA RAVU,231,0.0,8290.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000056060,VIJAYA SHRI ENTERPRISES,14,0.0,10755.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4002369298,SAANVI TRENDZ,109,0.0,1065.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000055959,U LAXMAMMA,86,0.0,4990.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000063005,VASHISHT HOMEOPATHIC PHARMACEUTICALS,21,0.0,3751.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000069175,KAKATIYA ENERGY SYSTEMS PVT LTD,11,0.0,4220.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000058927,LOTUS INTERNATIONAL,2,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000063187,LAKSHMI SAREES,42,0.0,8320.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000068827,LAASYA REDDY YALAKA,122,0.0,3685.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4002084630,KOLA SRIKANTH (SPCOD),288,0.0,13080.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000065595,CUSTOMIZE DUNIYA,122,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1619384557,ZLATO TRADING CO,19,0.0,44835.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
5000018005,SBI SHAPURNAGAR,92,0.0,2035.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000058814,RAVIRALA KARUNAKAR,0,0.0,1015.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000067761,SJI JIMR,10,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000068593,SOWMYA ENTERPRISES,30,0.0,2485.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000052699,KAMAKSHI ASTRO GEMS,50,0.0,2255.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000062754,ASIA BOOK HOUSE,14,0.0,1870.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000062755,ASIA BOOK HOUSE,6,0.0,956.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000069110,KONAM HARITHA,27,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000068297,ARROW ENGINEERING INDUSTRIES PVT LTD,8,0.0,4406.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1374935272,SOWMYA SELECTIONS,48,0.0,4310.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000063189,Murtle Foot Innovations,17,0.0,1410.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4002157091,S MADHUSUDHAN RAO,24,0.0,1035.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000069069,KALUVALA RAVALI,83,0.0,1170.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
4001732539,JULOORI SHRUTHI(HANS-CREATION-1),21,0.0,1425.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
2000013647,"ICFRE 
Institute of Forest Biodiversity",30,0.0,4380.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000068557,SM UNIQUE COLLECTIONS,2,0.0,3575.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
3000062204,NYARA PRODUCTS,33,0.0,2951.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1434308668,GREEN CARE BIO SCIENCES(COD),2,0.0,0.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
1000060010,BETHESHIFT TECHNOLOGIES PVT LTD,2,0.0,1335.0,-,-,All,All,All,All Offices,2025-10-01,2025-10-31
